d,method,target_scalar_ratio,width,stored_scalars,formula_scalars,scalar_ratio_to_formula
2,Formula,1.0,,3001,3001,1.0
2,ReLU MLP,1.0,37.0,2961,3001,0.9866711096301233
2,Spectral MLP,1.0,37.0,2961,3001,0.9866711096301233
2,Orthogonal MLP,1.0,37.0,2961,3001,0.9866711096301233
2,Training-mean constant,,,1,3001,0.0003332222592469177
100,Formula,1.0,,101001,101001,1.0
100,ReLU MLP,1.0,200.0,100801,101001,0.9980198215859248
100,Spectral MLP,1.0,200.0,100801,101001,0.9980198215859248
100,Orthogonal MLP,1.0,200.0,100801,101001,0.9980198215859248
100,Training-mean constant,,,1,101001,9.900892070375541e-06
