case,experiment,group,target_family,target_level,run,d,N_train,N_test,N_lip,formula_scalars,metric,formula_L_mode,L_used_cf,L_hat_train,cv_folds,cv_offset,cv_mse,cv_offsets,cv_scores,cv_fold_L_D,target_euclidean_L,train_mean_baseline_mse,family,method,target_scalar_ratio,width,mlp_depth,stored_scalars,scalar_ratio_to_formula,test_mse,train_mse,normalized_mse,lipschitz_bound,requested_nn_L,empirical_lipschitz,optimizer_updates,training_seconds
bumps_K64_d2,64 signed bumps,(Expected) Clear wins,bumps,8,13345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999989912116825,0,,,[],[],[],1.0,0.002051417339876301,formula,Formula,1.0,,,3001,1.0,0.0002110020237946454,0.0,0.10285670287225353,1.0,,0.9999527715334479,0,0.026800291998370085
bumps_K64_d2,64 signed bumps,(Expected) Clear wins,bumps,8,13345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999989912116825,0,,,[],[],[],1.0,0.002051417339876301,constant,Training-mean constant,,,,1,0.0003332222592469177,0.002051417339876301,0.00223712880827967,1.0,0.0,,0.0,0,0.0
bumps_K64_d2,64 signed bumps,(Expected) Clear wins,bumps,8,13345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999989912116825,0,,,[],[],[],1.0,0.002051417339876301,unconstrained,ReLU MLP,1.0,37.0,3.0,2961,0.9866711096301233,0.0012757468244060071,0.0010377595503007785,0.6218855615615172,24.203439132529915,,1.0489344054895415,1001,2.032964591999189
bumps_K64_d2,64 signed bumps,(Expected) Clear wins,bumps,8,13345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999989912116825,0,,,[],[],[],1.0,0.002051417339876301,spectral,Spectral MLP,1.0,37.0,3.0,2961,0.9866711096301233,0.001767502177701427,0.00174045753732891,0.861600486329128,0.9999990008830361,1.0,0.23025023559896668,1001,1.8968023389970767
bumps_K64_d2,64 signed bumps,(Expected) Clear wins,bumps,8,13345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999989912116825,0,,,[],[],[],1.0,0.002051417339876301,orthogonal,Orthogonal MLP,1.0,37.0,3.0,2961,0.9866711096301233,0.0016314294691983455,0.0015565343004182869,0.7952694156795611,0.9999990060395643,1.0,0.25882044461589687,1001,4.2832716970006
folds_T4_d2,Folding: 4 layers,(Expected) Clear wins,folds,4,12345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999999992965237,0,,,[],[],[],1.0,0.05408306850616954,formula,Formula,1.0,,,3001,1.0,0.00011249144386973352,0.0,0.002079975248758325,1.0,,0.9999623336359,0,0.02526342200144427
folds_T4_d2,Folding: 4 layers,(Expected) Clear wins,folds,4,12345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999999992965237,0,,,[],[],[],1.0,0.05408306850616954,constant,Training-mean constant,,,,1,0.0003332222592469177,0.05408306850616954,0.05560594031322702,1.0,0.0,,0.0,0,0.0
folds_T4_d2,Folding: 4 layers,(Expected) Clear wins,folds,4,12345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999999992965237,0,,,[],[],[],1.0,0.05408306850616954,unconstrained,ReLU MLP,1.0,37.0,3.0,2961,0.9866711096301233,0.000376799550190805,0.00032727092923894263,0.006967051992396132,20.711386903102586,,1.1647308654584874,1001,2.107066990000021
folds_T4_d2,Folding: 4 layers,(Expected) Clear wins,folds,4,12345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999999992965237,0,,,[],[],[],1.0,0.05408306850616954,spectral,Spectral MLP,1.0,37.0,3.0,2961,0.9866711096301233,0.009860899599052909,0.009774957688188856,0.18232877444681275,0.9999989878315664,1.0,0.5344898104969084,1001,1.7831576370008406
folds_T4_d2,Folding: 4 layers,(Expected) Clear wins,folds,4,12345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999999992965237,0,,,[],[],[],1.0,0.05408306850616954,orthogonal,Orthogonal MLP,1.0,37.0,3.0,2961,0.9866711096301233,0.00573176308100019,0.005662230088510905,0.1059807300014114,0.9999989728700179,1.0,0.6496845416077665,1001,4.49163958400095
folds_T4_d2,Folding: 4 layers,(Expected) Clear wins,folds,4,13345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999999999997671,0,,,[],[],[],1.0,0.07054607203318086,formula,Formula,1.0,,,3001,1.0,6.988574689052526e-05,0.0,0.0009906398028462161,1.0,,0.9999994057168511,0,0.026502833999984432
folds_T4_d2,Folding: 4 layers,(Expected) Clear wins,folds,4,13345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999999999997671,0,,,[],[],[],1.0,0.07054607203318086,constant,Training-mean constant,,,,1,0.0003332222592469177,0.07054607203318086,0.06924326234035161,1.0,0.0,,0.0,0,0.0
folds_T4_d2,Folding: 4 layers,(Expected) Clear wins,folds,4,13345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999999999997671,0,,,[],[],[],1.0,0.07054607203318086,unconstrained,ReLU MLP,1.0,37.0,3.0,2961,0.9866711096301233,0.0003062120925816093,0.00023957691081614464,0.004340597339531314,17.23849736600525,,1.2682920588117106,1001,2.081404887001554
