sigma,case,run,beta_selected,cv_validation_mse,final_refit_n,final_average_count_min,final_average_count_mean,final_average_count_max
0.1,folds_T1_d100,12345,9.22338730307246,0.12360434447492324,1000,874,988.032,1000
0.1,folds_T1_d100,13345,7.711356597650745,0.13267360341533002,1000,20,186.09,792
0.1,folds_T4_d100,12345,8.013762738735089,0.05404522548605645,1000,65,390.904,866
0.1,folds_T4_d100,13345,9.22338730307246,0.047316057691090554,1000,843,987.406,1000
0.1,voronoi_K64_d100,12345,7.711356597650745,0.061827769034121786,1000,16,183.634,664
0.1,voronoi_K64_d100,13345,8.618575020903775,0.056706923245822806,1000,382,836.462,999
0.2,folds_T1_d100,12345,9.22338730307246,0.1483730561368698,1000,874,988.032,1000
0.2,folds_T1_d100,13345,7.711356597650745,0.16167258664626413,1000,20,186.09,792
0.2,folds_T4_d100,12345,8.013762738735089,0.08446566198309685,1000,65,390.904,866
0.2,folds_T4_d100,13345,9.22338730307246,0.07494312263087102,1000,843,987.406,1000
0.2,voronoi_K64_d100,12345,7.711356597650745,0.09061619210856774,1000,16,183.634,664
0.2,voronoi_K64_d100,13345,8.618575020903775,0.08451725310153929,1000,382,836.462,999
0.8,folds_T1_d100,12345,8.618575020903775,0.7010371887702764,1000,413,838.212,993
0.8,folds_T1_d100,13345,10.130605726325488,0.7266446451662141,1000,997,999.988,1000
0.8,folds_T4_d100,12345,8.013762738735089,0.6713142363005511,1000,65,390.904,866
0.8,folds_T4_d100,13345,10.130605726325488,0.6320443511639994,1000,997,999.988,1000
0.8,voronoi_K64_d100,12345,7.711356597650745,0.6678107623561439,1000,16,183.634,664
0.8,voronoi_K64_d100,13345,8.920981161988117,0.6428114423503123,1000,647,946.166,1000
