sigma,case,experiment,group,d,family,method,target_scalar_ratio,width,mlp_depth,stored_scalars,formula_scalars,scalar_ratio_to_formula,formula_L,beta_mode,cv_folds,final_refit_n,optimizer_updates,completed_runs,test_mse_mean,test_mse_std,train_noisy_mse_mean,train_noisy_mse_std,train_clean_mse_mean,train_clean_mse_std,empirical_lipschitz_mean,empirical_lipschitz_std,lipschitz_bound_mean,lipschitz_bound_std,training_seconds_mean,training_seconds_std,beta_selected_mean,beta_selected_std,cv_validation_mse_mean,cv_validation_mse_std,final_average_count_mean_mean,final_average_count_mean_std,clean_test_variance_mean,clean_test_variance_std,mse_percent_of_formula,mse_percent_of_constant,observed_comparison
0.1,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,formula,Formula,1.0,,,101001,101001,1.0,1.0,cv,5,1000,0,2,0.04845642030965904,2.1961570530351036e-05,0.05796816450245481,0.0020474744494834536,0.04866990419103456,0.0018493264392463887,0.009748102384754535,0.009845404462027516,1.0,0.0,0.4089685045000806,0.011971655097163048,8.164965809277259,0.6415002990995845,0.059267346139972296,0.0036209847823167806,510.048,461.61910574845143,0.04841201802770938,5.0418213557676525e-05,100.0,99.96880408731661,Reference
0.1,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.058977562920003515,0.0004249806901425152,8.492291419955763e-16,2.5661596874337347e-17,0.00947405350790909,0.0001981797312865885,0.10408530601335883,0.006452951431684403,4.4479337088287885,0.41491704797792134,8.935189064497536,0.023356877544738436,8.164965809277259,0.6415002990995845,0.059267346139972296,0.0036209847823167806,510.048,461.61910574845143,0.04841201802770938,5.0418213557676525e-05,121.71258739937758,121.67461804688777,Formula win
0.1,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,spectral,Spectral MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.056411327269228206,0.00037133771152136815,6.141117714319641e-07,8.684845715408803e-07,0.009472683024781846,0.0001962459409801189,0.10497321687451705,0.009960866328362928,0.9999989846745987,2.2425159324128885e-08,9.407231768000202,0.16263946982418023,8.164965809277259,0.6415002990995845,0.059267346139972296,0.0036209847823167806,510.048,461.61910574845143,0.04841201802770938,5.0418213557676525e-05,116.41662117988413,116.3803039523919,Formula win
0.1,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.05263296001465842,0.0004208354735452225,3.8758682131189276e-13,1.746287194357213e-14,0.009474006680853719,0.0001981778569466485,0.08856923733536501,0.0028159262870119206,0.9999990126140986,1.2396789358860474e-08,43.28519399400102,0.5031776889512947,8.164965809277259,0.6415002990995845,0.059267346139972296,0.0036209847823167806,510.048,461.61910574845143,0.04841201802770938,5.0418213557676525e-05,108.61916682724261,108.58528208680174,Near tie
0.1,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,1.0,cv,5,1000,0,2,0.048471541449405894,3.2403212083878116e-05,0.05932058107312908,0.003792040166679842,0.04995459212360655,0.0034231918799738797,0.0,0.0,0.0,0.0,0.0,0.0,8.164965809277259,0.6415002990995845,0.059267346139972296,0.0036209847823167806,510.048,461.61910574845143,0.04841201802770938,5.0418213557676525e-05,100.03120564756996,99.99999999999999,Reference
0.1,folds_T1_d100,Folding: 1 layer,Tied,100,formula,Formula,1.0,,,101001,101001,1.0,1.0,cv,5,1000,0,2,0.12012699703267299,0.003817458679953923,0.12634133406966647,0.004146925132760689,0.11847663509299616,0.000885526214661246,0.010429714631221897,0.013043827957237663,1.0,0.0,0.39624618050038407,0.0024019618334340173,8.467371950361603,1.0691671651659738,0.12813897394512663,0.006412934497098355,587.061,567.0586263183023,0.11995726076464659,0.003582751384873505,100.0,100.11894400113111,Reference
0.1,folds_T1_d100,Folding: 1 layer,Tied,100,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.14235868289524592,0.013103624302457767,1.1319819921363673e-12,1.596650278981791e-12,0.009474061680142578,0.0001981914172186168,0.15791842518244265,0.016852903168219923,6.592280184398112,0.10318515889548274,8.881453528001657,0.11317852003396053,8.467371950361603,1.0691671651659738,0.12813897394512663,0.006412934497098355,587.061,567.0586263183023,0.11995726076464659,0.003582751384873505,118.50681895970996,118.64777571179384,Formula win
0.1,folds_T1_d100,Folding: 1 layer,Tied,100,spectral,Spectral MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.12443367315434602,0.0063485338021826996,1.7202490886160683e-12,1.7761511388150981e-12,0.009474024611194176,0.0001982062193357191,0.12332778737080755,0.005779732970070648,0.9999990021788064,3.342135861736309e-08,9.248921921500369,0.2003038752679609,8.467371950361603,1.0691671651659738,0.12813897394512663,0.006412934497098355,587.061,567.0586263183023,0.11995726076464659,0.003582751384873505,103.58510262310284,103.70831088873854,Near tie
0.1,folds_T1_d100,Folding: 1 layer,Tied,100,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.1257764496105771,0.005090438546668414,0.00016682828491068263,0.00023593082204345436,0.00969368583751146,0.00011247729741508879,0.11887352568943459,0.00528463205919989,0.9999989917930441,3.028132411485308e-08,42.346456208000745,0.3067003439509544,8.467371950361603,1.0691671651659738,0.12813897394512663,0.006412934497098355,587.061,567.0586263183023,0.11995726076464659,0.003582751384873505,104.70290002868177,104.8274378472762,Near tie
0.1,folds_T1_d100,Folding: 1 layer,Tied,100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,1.0,cv,5,1000,0,2,0.11998428292583252,0.0036179366671898173,0.12803285046973895,0.006630647276343692,0.12011318013007535,0.0032840903673196998,0.0,0.0,0.0,0.0,0.0,0.0,8.467371950361603,1.0691671651659738,0.12813897394512663,0.006412934497098355,587.061,567.0586263183023,0.11995726076464659,0.003582751384873505,99.88119730754474,100.0,Reference
