case,experiment,group,target_family,target_level,run,sigma,d,N_train,N_test,formula_scalars,metric,formula_L,beta_mode,noisy_L_D,cv_folds,cv_validation_mse,final_refit_n,final_average_count_min,final_average_count_mean,final_average_count_max,beta_selected,final_L,clean_test_variance,train_mean_baseline_mse,family,method,target_scalar_ratio,width,stored_scalars,scalar_ratio_to_formula,mlp_depth,test_mse,train_noisy_mse,train_clean_mse,mse_over_constant,lipschitz_bound,empirical_lipschitz,optimizer_updates,training_seconds
folds_T1_d100,Folding: 1 layer,Tied,folds,1,12345,0.2,100,1000,2000,101001,l2,1.0,cv,0.33142105406650874,5,0.1483730561368698,1000,874,988.032,1000,9.22338730307246,1.0,0.11742387296509704,0.11742938191892525,constant,Training-mean constant,,,1,9.900892070375541e-06,,0.11742938191892525,0.1481251668997841,0.11779331884805012,1.0,0.0,0.0,0,0.0
folds_T1_d100,Folding: 1 layer,Tied,folds,1,12345,0.2,100,1000,2000,101001,l2,1.0,cv,0.33142105406650874,5,0.1483730561368698,1000,874,988.032,1000,9.22338730307246,1.0,0.11742387296509704,0.11742938191892525,formula,Formula,1.0,,101001,1.0,,0.11743233811385648,0.14820096375416267,0.11785756068164568,1.0000251742356379,1.0,0.0013522600177065644,0,0.9660629329737276
folds_T1_d100,Folding: 1 layer,Tied,folds,1,12345,0.2,100,1000,2000,101001,l2,1.0,cv,0.33142105406650874,5,0.1483730561368698,1000,874,988.032,1000,9.22338730307246,1.0,0.11742387296509704,0.11742938191892525,orthogonal,Orthogonal MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.12365960232645477,1.6256978281113362e-06,0.0384586690225201,1.0530550387451663,0.9999990163700395,0.13123324822549082,1001,92.0793567718938
folds_T1_d100,Folding: 1 layer,Tied,folds,1,12345,0.2,100,1000,2000,101001,l2,1.0,cv,0.33142105406650874,5,0.1483730561368698,1000,874,988.032,1000,9.22338730307246,1.0,0.11742387296509704,0.11742938191892525,spectral,Spectral MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.1242112896872856,1.8897342295530544e-12,0.03845665739082564,1.0577530738690482,0.9999989897245625,0.1337174104003916,1001,13.48990645003505
folds_T1_d100,Folding: 1 layer,Tied,folds,1,12345,0.2,100,1000,2000,101001,l2,1.0,cv,0.33142105406650874,5,0.1483730561368698,1000,874,988.032,1000,9.22338730307246,1.0,0.11742387296509704,0.11742938191892525,unconstrained,ReLU MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.14252666623557303,8.670408245986052e-15,0.03845674893698292,1.2137223572714984,7.382186593086362,0.16082731926051802,1001,10.90619602589868
folds_T1_d100,Folding: 1 layer,Tied,folds,1,13345,0.2,100,1000,2000,101001,l2,1.0,cv,0.34403315776431614,5,0.16167258664626413,1000,20,186.09,792,7.711356597650745,1.0,0.12249064856419614,0.1224918227610159,constant,Training-mean constant,,,1,9.900892070375541e-06,,0.1224918227610159,0.16163784518871632,0.12254777140592148,1.0,0.0,0.0,0,0.0
folds_T1_d100,Folding: 1 layer,Tied,folds,1,13345,0.2,100,1000,2000,101001,l2,1.0,cv,0.34403315776431614,5,0.16167258664626413,1000,20,186.09,792,7.711356597650745,1.0,0.12249064856419614,0.1224918227610159,formula,Formula,1.0,,101001,1.0,,0.12293569497630491,0.15796697918904473,0.11938235700464912,1.0036236885473981,1.0,0.02108854881726227,0,0.9011766510084271
folds_T1_d100,Folding: 1 layer,Tied,folds,1,13345,0.2,100,1000,2000,101001,l2,1.0,cv,0.34403315776431614,5,0.16167258664626413,1000,20,186.09,792,7.711356597650745,1.0,0.12249064856419614,0.1224918227610159,orthogonal,Orthogonal MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.13212326456729281,1.4027123903733297e-12,0.03733548148023081,1.0786292634820862,0.9999989758503435,0.12736800006139934,1001,91.80119713186286
folds_T1_d100,Folding: 1 layer,Tied,folds,1,13345,0.2,100,1000,2000,101001,l2,1.0,cv,0.34403315776431614,5,0.16167258664626413,1000,20,186.09,792,7.711356597650745,1.0,0.12249064856419614,0.1224918227610159,spectral,Spectral MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.13490195047900302,9.32292454737228e-09,0.03732450028506651,1.1013139280505242,0.9999989750722578,0.1441195332019886,1001,13.571590910898522
folds_T1_d100,Folding: 1 layer,Tied,folds,1,13345,0.2,100,1000,2000,101001,l2,1.0,cv,0.34403315776431614,5,0.16167258664626413,1000,20,186.09,792,7.711356597650745,1.0,0.12249064856419614,0.1224918227610159,unconstrained,ReLU MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.1625052116369777,4.38595631309788e-12,0.037335587606573996,1.3266617148315996,7.011292280272001,0.18400250783297767,1001,10.800153250806034
