run,method,d,metric,N_train,N_test,N_lip,test_mse,empirical_lipschitz,L_hat_train,L_used_cf,width,mlp_depth,target_scalar_ratio,stored_scalars,formula_scalars,scalar_ratio_to_formula
12345,Closed form,100,l2,1000,2000,1000,0.20302802659581112,0.05091245709617304,0.24436125998248617,0.2565793229816105,,,1.0,101001,101001,1.0
12345,MLP target=0.5x,100,l2,1000,2000,1000,0.008386888679274142,0.269103285289698,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
12345,MLP target=1.0x,100,l2,1000,2000,1000,0.009762737006986483,0.2716313312544967,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
12345,MLP target=1.5x,100,l2,1000,2000,1000,0.01032454246652735,0.29193286538074953,,,250.0,3.0,1.5,151001,101001,1.495044603518777
12345,MLP target=2.0x,100,l2,1000,2000,1000,0.01145858398167594,0.2931653602339923,,,293.0,3.0,2.0,202171,101001,2.0016732507598936
13345,Closed form,100,l2,1000,2000,1000,0.2313329496012816,0.04195543346186104,0.2552701199838265,0.26803362598301783,,,1.0,101001,101001,1.0
13345,MLP target=0.5x,100,l2,1000,2000,1000,0.011042948659940263,0.2385431119599926,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
13345,MLP target=1.0x,100,l2,1000,2000,1000,0.013189454885731209,0.2364106340095063,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
13345,MLP target=1.5x,100,l2,1000,2000,1000,0.013608333671636226,0.24039313593071523,,,250.0,3.0,1.5,151001,101001,1.495044603518777
13345,MLP target=2.0x,100,l2,1000,2000,1000,0.011870010171452108,0.23001947156555175,,,293.0,3.0,2.0,202171,101001,2.0016732507598936
14345,Closed form,100,l2,1000,2000,1000,0.20462168575482995,0.046282310366598856,0.2525117152149366,0.26513730097568344,,,1.0,101001,101001,1.0
14345,MLP target=0.5x,100,l2,1000,2000,1000,0.012230284009940855,0.27084036815644713,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
14345,MLP target=1.0x,100,l2,1000,2000,1000,0.01278569696885504,0.2699013260075265,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
14345,MLP target=1.5x,100,l2,1000,2000,1000,0.0103901342062363,0.2623145665667716,,,250.0,3.0,1.5,151001,101001,1.495044603518777
14345,MLP target=2.0x,100,l2,1000,2000,1000,0.011316333787973249,0.2768208312439277,,,293.0,3.0,2.0,202171,101001,2.0016732507598936
15345,Closed form,100,l2,1000,2000,1000,0.19269529429370116,0.04259560874125694,0.24279984523304565,0.25493983749469795,,,1.0,101001,101001,1.0
15345,MLP target=0.5x,100,l2,1000,2000,1000,0.010859983659069853,0.26646235607930324,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
15345,MLP target=1.0x,100,l2,1000,2000,1000,0.009529199976568516,0.28744287724575923,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
