run,method,d,metric,N_train,N_test,N_lip,test_mse,empirical_lipschitz,gradient_lipschitz,L_hat_train,L_used_cf
12345,Closed form,100,l2,5000,2000,10000,0.19645435808319509,0.0569265981111623,0.19463274949217887,0.26519824057467783,0.2784581526034117
12345,MLP W=64,100,l2,5000,2000,10000,0.001713011151154579,0.28018419770613073,1.4335999488830566,,
12345,MLP W=128,100,l2,5000,2000,10000,0.0024759839079404287,0.2935812508647701,1.2830103635787964,,
13345,Closed form,100,l2,5000,2000,10000,0.2488031470964848,0.056433413957689894,0.1881895728381656,0.2638353041311123,0.2770270693376679
13345,MLP W=64,100,l2,5000,2000,10000,0.0011167247738757128,0.2757519648820891,1.23236083984375,,
13345,MLP W=128,100,l2,5000,2000,10000,0.002401889879682801,0.26514488141309656,1.2953015565872192,,
14345,Closed form,100,l2,5000,2000,10000,0.2043518064086458,0.048549718022644864,0.1831474506940871,0.25389808425119237,0.266592988463752
14345,MLP W=64,100,l2,5000,2000,10000,0.001136954523916348,0.28290889116511975,1.3097567558288574,,
14345,MLP W=128,100,l2,5000,2000,10000,0.0026442809734999635,0.29092667135550615,1.3363544940948486,,
15345,Closed form,100,l2,5000,2000,10000,0.19033720993498848,0.054975699851017856,0.17818289575262192,0.2531433772684733,0.26580054613189696
15345,MLP W=64,100,l2,5000,2000,10000,0.0014044132041980352,0.27872611767986594,1.405790090560913,,
15345,MLP W=128,100,l2,5000,2000,10000,0.0023749433634721218,0.2781938138931737,1.3418158292770386,,
16345,Closed form,100,l2,5000,2000,10000,0.193535802599215,0.0480335809119864,0.18803560491969618,0.25879336421053206,0.2717330324210587
16345,MLP W=64,100,l2,5000,2000,10000,0.0014767051274448958,0.2935906208254313,1.306572437286377,,
16345,MLP W=128,100,l2,5000,2000,10000,0.0023435497826991046,0.2965251223788773,1.3000335693359375,,
17345,Closed form,100,l2,5000,2000,10000,0.22745919520600102,0.052272932256992324,0.17697515061818667,0.24816070821155894,0.2605687436221369
17345,MLP W=64,100,l2,5000,2000,10000,0.0022618873050116953,0.2905985102128494,1.2813611030578613,,
17345,MLP W=128,100,l2,5000,2000,10000,0.0018797566208166962,0.29325295881992264,1.4638601541519165,,
18345,Closed form,100,l2,5000,2000,10000,0.1895627628707557,0.0501967310282743,0.18507328755424826,0.25876003576024476,0.271698037548257
18345,MLP W=64,100,l2,5000,2000,10000,0.0015161240767460277,0.28641140433302664,1.3462516069412231,,
18345,MLP W=128,100,l2,5000,2000,10000,0.0023572242658518212,0.30418600395817696,1.3318160772323608,,
