omega,sigma,run,mlp_mse,uf_mse,mlp_maxerr,uf_maxerr,beta_min,beta_max,beta_star,L_used
1,0.1,0,0.00013330184875252066,8.767112379904169e-05,0.02698111616884652,0.03229737459143134,1.3475638893645217e-07,2.0,0.06565614542531065,20.793882767609055
1,0.1,1,0.00014067886463950136,0.00033163984448231334,0.027239017636603247,0.06325493018908063,3.30003460113914e-08,2.0,0.014260352828683986,119.21122446586392
1,0.1,2,7.388859670204638e-05,0.00029854218108397513,0.031429855218815694,0.06882008202649403,1.6168288310414165e-06,2.0,0.1780828400385977,31.255313594647234
1,0.1,3,5.914900881447378e-05,7.60977542103887e-05,0.02565510328374343,0.030245105103520853,9.043163831101707e-07,2.0,0.09734899186819593,33.772085361845754
1,0.1,4,0.00017455159285384095,0.00013640272817541044,0.050247160783696065,0.05164165113867325,5.839156165254879e-07,2.0,0.14940359456403168,956.5410340669554
1,0.1,5,6.571496275578842e-05,0.00044962071437060604,0.0265166334705724,0.08548621558312003,1.7377722860700815e-07,2.0,0.012872818481185785,1233.181479063424
1,0.1,6,9.114605414320646e-05,0.00016710587752697236,0.024525435575556864,0.04934870610850073,6.029242540783745e-07,2.0,0.1502310773528325,48.95291914309295
1,0.1,7,0.00013734700344011526,0.0001209746864551192,0.04092231572539817,0.030344522102555838,5.953403432457096e-07,2.0,0.05317710955817559,43.616220731333804
1,0.1,8,0.00019510143709081893,0.00013345512258753733,0.044407693735051046,0.03920268259083326,1.698684430895269e-07,2.0,0.12075533444543657,31.290796521466582
1,0.1,9,0.00010683616350660496,0.0001557935298900298,0.03718987286956321,0.04725811619051834,1.7513495542686983e-07,2.0,0.12139269533896946,139.3363423665382
2,0.1,0,0.00012745273238536488,0.0001175702861747785,0.026530484074434257,0.03500003093270254,8.191825520142977e-07,2.0,0.057435924030796594,233.9989394088527
2,0.1,1,0.0001290303673155615,0.0002709822018624143,0.031178690382294705,0.06041790162645978,7.273679276664775e-07,2.0,0.020074005683954645,208.56250226473338
2,0.1,2,0.0002503763545497435,0.00036857091241832083,0.03294555766590679,0.04673312598537682,1.1236886328092061e-06,2.0,0.16725441109216585,38.74064680327725
2,0.1,3,0.00012616456878781267,0.0005823227662107312,0.03485075408974747,0.08390742237032334,4.224525729235038e-07,2.0,0.00998203179165021,165.97144851528574
2,0.1,4,0.00013864283532919917,0.00012538477202225676,0.04293716496915079,0.0505366738784816,1.3745114024743554e-07,2.0,0.11642611372492671,44.41368359361667
2,0.1,5,0.00016177170102718902,0.0001007751637902949,0.03144877159043846,0.02837779288606801,4.842487506540035e-07,2.0,0.05059105950459979,272.48601931485626
2,0.1,6,7.896510674017666e-05,0.00028558290933469114,0.04261229407199285,0.06065659941322843,7.488509303765767e-07,2.0,0.1559514954324338,29.537381608763813
2,0.1,7,8.092542350298465e-05,0.00017121224909680204,0.02239077059765726,0.05175207718424746,5.7026410038574286e-08,2.0,0.10004050240079025,29.570876325316025
2,0.1,8,0.00013114470874786143,9.874848583599754e-05,0.03778115095175105,0.04398246713645915,1.5605927026207654e-06,2.0,0.1089832018800615,19.016598306279796
2,0.1,9,0.0001059128107794682,0.0001567837739232648,0.025869495801032594,0.033729441778376335,4.781479800985974e-07,2.0,0.02981386115353121,91.03871929981281
3,0.1,0,8.194600400867774e-05,0.00018066256317781872,0.02250358229668581,0.06646583373909648,3.0434289710612477e-07,2.0,0.045225802227342765,86.64377286616123
3,0.1,1,0.0002436206484877283,0.00023750264541700966,0.05048997061597507,0.05835895914561362,5.71231883794709e-07,2.0,0.03131328285213989,247.89308595192966
3,0.1,2,0.00011918095794259841,0.0002479417694142847,0.03286838411310422,0.06993802715410752,5.574760715276739e-07,2.0,0.031103428783180138,107.15439499495359
3,0.1,3,0.00010520424782265606,0.00013247921289194858,0.023951765217925414,0.03391316131450761,6.547949182866829e-07,2.0,0.032515111836551924,65.25933161563543
3,0.1,4,9.870150213021995e-05,0.0003508008803084008,0.026373905757450522,0.10134981946448288,1.0606326603657126e-06,2.0,0.06113115228236588,153.6675891655515
3,0.1,5,0.00016078407392946983,0.00022046550004413756,0.03325067414499017,0.0772005126711269,1.1739780796382615e-06,2.0,0.038197186296206796,75.25622340172455
3,0.1,6,0.00018878655027802516,0.00021444015935156597,0.06135197622431118,0.05380883810260656,2.776320542352551e-07,2.0,0.02566192306709207,178.6156705404327
3,0.1,7,0.00017011933792357136,0.00031388878457526236,0.0416397984539191,0.0907211126726771,1.004455435271723e-06,2.0,0.022188967929946266,504.9780413453837
3,0.1,8,0.0001439127636405697,0.0002885451892774819,0.02777413229728165,0.049855699377078566,6.4138794608759e-07,2.0,0.01930540264857201,141.7490095457157
3,0.1,9,8.101888693070672e-05,0.00022160812941927918,0.03194825658034628,0.09545590033939319,3.865880411346723e-07,2.0,0.0479139558082705,128.02348794159292
4,0.1,0,0.0002798163115853746,0.0002564943889412895,0.06185304797755964,0.06744523971303029,3.673025172901128e-08,2.0,0.05017380196633589,69.0322908794782
4,0.1,1,9.778762442394234e-05,0.0006187484201520022,0.027229481490357976,0.1437885914463244,2.4574415302680574e-07,2.0,0.07434669920424265,253.0274381137523
4,0.1,2,0.0002123432389883942,0.00020103703744803696,0.042929715573203686,0.06590776930323916,3.0958594310348546e-07,2.0,0.045412650074795294,86.55459192103108
4,0.1,3,0.00012863534527827658,0.00024957037416322933,0.047462876625066874,0.07144670364850347,1.258995787845052e-06,2.0,0.023800163748788235,217.99240291546187
4,0.1,4,0.0003678633152716547,0.0002849768115825871,0.04479025276166426,0.10648793384828226,5.157592004589874e-07,2.0,0.030443168712920007,49.3070021184785
4,0.1,5,0.0007041798020306529,0.000287836870787595,0.04907125633239162,0.06375247646467486,1.681151444721253e-07,2.0,0.022345451007304843,108.07098943113147
4,0.1,6,0.00011454533343351509,0.00022860614434931458,0.02609418561499499,0.058493102923062285,2.948528021740059e-08,2.0,0.025744596760708498,130.0247564717182
4,0.1,7,0.0001573852888003728,0.0002912627565379655,0.0336024256518096,0.05244128785101865,3.177286949096469e-07,2.0,0.026634900789153676,113.20542480519852
4,0.1,8,0.00010151026851109619,0.0002417238664189572,0.025025579423083255,0.07099611658541705,1.3719306590775909e-06,2.0,0.024443210849169315,122.30173819872077
4,0.1,9,0.00022046858250159774,0.00030849481128919775,0.03885035805952697,0.07086437828225978,1.8292953256615606e-06,2.0,0.02672614722044318,76.16777781041785
5,0.1,0,0.0001320635402112564,0.00029109161706984454,0.04802193142969602,0.050981939120775976,3.5915606044767347e-09,2.0,0.062107295345449814,115.09864543681013
5,0.1,1,0.00025728829165088166,0.0003224452647343692,0.03691263892252439,0.05821680827899367,2.9423850267384926e-07,2.0,0.044858709233735174,73.19498312418322
5,0.1,2,0.0002774068539259496,0.00021181072722739201,0.06418253876764768,0.04706832112620185,1.5376453288418177e-07,2.0,0.03835443810938938,245.03253030781528
5,0.1,3,0.0002172793419494069,0.00030391991558644183,0.052064886092136775,0.04735350669252503,5.69459918109416e-07,2.0,0.05260967117873625,57.524803779885914
5,0.1,4,0.0005940995135779965,0.0005706312485058556,0.059787139615754326,0.07744072730894924,4.577956169704579e-07,2.0,0.010262454603281217,626.18142486554
5,0.1,5,0.0001819756324780043,0.0002473773240974329,0.05634107091028684,0.046461076965748416,2.0327298644318145e-07,2.0,0.02354725299992116,302.60967994569233
5,0.1,6,0.00017801807126973594,0.000284390355327851,0.04433487524110202,0.058407085263385894,2.3307765917301984e-07,2.0,0.04240523393589111,121.94351940747535
5,0.1,7,0.00028957449751503163,0.0002899986044639711,0.04439670128088535,0.07027638146401968,2.3269608906417706e-08,2.0,0.02431467093237931,184.55630310504165
5,0.1,8,0.00031460822641910625,0.00035730779214228396,0.04403120388688797,0.05788045372670514,1.9874637913197533e-07,2.0,0.07115233331941026,52.28699246505903
5,0.1,9,0.0005154264732422076,0.0002747225164678047,0.05169299491777002,0.05401211166443215,1.1702938582658368e-06,2.0,0.03816408056587922,135.91767491759356
6,0.1,0,0.00029822374710333094,0.00031199336936923474,0.044484656691915814,0.07252301636641478,1.035022556106214e-06,2.0,0.022396364428562812,279.57986718140154
6,0.1,1,0.0001861782812765865,0.0003151466997673565,0.043416659562086846,0.0577037312615003,4.2114760523403994e-07,2.0,0.028787934322611904,90.2721841973897
6,0.1,2,0.00015204989543999827,0.00032688188604190375,0.03736897876939116,0.11348161055741385,2.5652111257379296e-07,2.0,0.025108126289304963,152.0902076616596
6,0.1,3,0.0007316912219928617,0.00037257779039974627,0.07975830632263481,0.11404337793159025,5.668244316137107e-07,2.0,0.03124644650403723,147.77951805352208
6,0.1,4,0.00044566721752453166,0.00035135283003952787,0.07050453620964348,0.1309917299923421,1.3608095139616704e-07,2.0,0.03723988399230669,362.5803895637333
6,0.1,5,0.00021968457966562542,0.00041024614303174434,0.05430870252662956,0.08984273595120457,1.4524570568497105e-07,2.0,0.021462035429686336,224.40908616150233
6,0.1,6,0.0005202408431595333,0.00032439469672042044,0.057480968085842354,0.06695415947667321,2.53985946274682e-07,2.0,0.025039427395996693,260.9432588787922
6,0.1,7,0.00020770904589983497,0.0002881709799592323,0.04515498095053383,0.08181549405893579,1.2023815831874166e-07,2.0,0.020371987182473635,122.52125997014217
6,0.1,8,0.00023458312554615243,0.0002827821984350728,0.08106559086926257,0.08648113405313207,8.835164466702864e-08,2.0,0.01871179342653976,147.19476843259346
6,0.1,9,0.00015897961862367758,0.00035811405464593305,0.03160150696214936,0.1217268388407019,6.521086257649249e-07,2.0,0.03247825896077608,571.8558902174501
8,0.1,0,0.0004610970453959328,0.000444747796454116,0.05178418665401929,0.07192203266986008,3.2669439220534013e-07,2.0,0.015658649801322453,223.3763749961494
8,0.1,1,0.0006801926422563062,0.00033838449574750105,0.12879747122634966,0.09049950923158945,3.5870097692125553e-07,2.0,0.027541172607196577,707.5430070754835
8,0.1,2,0.0003622482931152803,0.0004656627545256592,0.09840339392532427,0.1084542034292999,1.467457371395752e-06,2.0,0.01533548123598618,170.2146582781683
8,0.1,3,0.0003397858765866316,0.00038586846084470456,0.06578332156051714,0.06793512773083554,9.19352936445961e-07,2.0,0.021587623676047343,127.26397918855419
8,0.1,4,0.0003265818651409425,0.0003141088536736814,0.05166860516861571,0.058445714667915705,4.62283517244089e-07,2.0,0.02953763807916005,166.0572810237252
8,0.1,5,0.0006698943822305899,0.0004019701310753689,0.06453595353064412,0.059437404998015114,7.760870746054132e-08,2.0,0.01805440683638585,156.89955025616297
8,0.1,6,0.0002804543208722068,0.0003569577963067928,0.08731180399765093,0.07817092981748253,4.362304129035264e-07,2.0,0.029068734032954124,113.73755022908793
8,0.1,7,0.00046461910729670537,0.00047018905865670025,0.05211693645213453,0.06230542813580689,1.0299850885520097e-06,2.0,0.036842949716904265,654.7148474614442
8,0.1,8,0.0005576144779383854,0.0003591126674864395,0.05948453899802675,0.07571259138853431,1.0798404637135676e-07,2.0,0.03521800307921895,158.53862357106442
8,0.1,9,0.00011820768254929894,0.00040216947096048114,0.06979423731674272,0.06439767859748954,1.9709594778483092e-07,2.0,0.0407231636351071,178.94083041670217
10,0.1,0,0.0002093596337379221,0.000538256489487251,0.06277353679841213,0.1112120413201505,5.351262519770475e-07,2.0,0.01825012031501586,3704.5067766603293
10,0.1,1,0.00023204903274582427,0.0007922291521850687,0.047067831574192476,0.11079423479133056,5.694533793398901e-07,2.0,0.011064613911121322,356.47098375083783
10,0.1,2,0.00035021755762229957,0.0005907473558008918,0.046486991340639605,0.09271606645976829,1.9738907308664003e-07,2.0,0.013391989476738185,191.11697187735024
10,0.1,3,0.0014005839396998279,0.0005084768636546006,0.0746621537154144,0.1143047048611689,4.285632972944601e-07,2.0,0.017034746647851654,134.19481201317112
10,0.1,4,0.0013668510213344508,0.0006108341427667137,0.07981711052154872,0.10628519514597262,3.7266684005388097e-07,2.0,0.01631171182971354,578.9533742346987
10,0.1,5,0.0006650697186626117,0.0006273721820630878,0.05434652087462921,0.0867802404691862,8.29452074135873e-07,2.0,0.020909094587579252,129.29421208468264
10,0.1,6,0.00032408090888330323,0.00047159380355395755,0.06259123924934362,0.09172755355518553,6.360138948835478e-08,2.0,0.017089786853223207,119.13586656930683
10,0.1,7,0.0007614615609281599,0.000827490603733114,0.06982801643950198,0.11073867427408551,4.452120716536007e-08,2.0,0.028436997433116454,352.2585887284345
10,0.1,8,0.00033757362307621365,0.00045475196703484346,0.04805959780402924,0.1038103771619322,1.5755833304709204e-07,2.0,0.021949232676644694,188.756417363441
10,0.1,9,0.00047700600932987577,0.0006200568441131942,0.06256900198975707,0.17079130975531664,2.8551711106494787e-07,2.0,0.0258609443954839,204.27289832846702
12,0.1,0,0.0004367616510690895,0.0008623027924563633,0.07837303784841032,0.12908330744485075,3.067509313225972e-08,2.0,0.007514840304427608,435.5366940035459
12,0.1,1,0.002675383906531094,0.0008107457262830788,0.20986403554418176,0.1589860011974521,2.9519131428124007e-07,2.0,0.026099759182849697,410.5878478890305
12,0.1,2,0.001557505029944871,0.0006409185183340176,0.15972097247579187,0.12412716344732022,2.765566646800719e-07,2.0,0.014869573767882316,101.28092372906279
