omega,mlp_mse_mean,mlp_mse_std,uf_mse_mean,uf_mse_std,beta_star_mean,beta_star_std
1,0.0001177715532698917,4.62525942008516e-05,0.0001957303562581394,0.00012242522646794702,0.09631809599014199,0.05786480168246598
5,0.00029577404422395767,0.00014878621425066398,0.00031536953656232465,9.791769675757368e-05,0.04077761402240729,0.018404927082263146
10,0.0006124253006020489,0.00044325321392410803,0.0006041809404392723,0.00012456930711269998,0.019029923812648807,0.005356031096618869
15,0.0011233344822508472,0.0005646367953670282,0.0008220522081903369,0.00014904190432651023,0.014645017476439367,0.004144852428235775
20,0.004232454354617091,0.00880729058712434,0.001115305911379858,0.00014577611701260056,0.009052866531581605,0.0023963061563086556
25,0.0038176213169749825,0.006464292106449114,0.001389652788723943,0.00012522075694530738,0.009003734390584718,0.0030544260384657673
30,0.0059003553172048894,0.005594621512590141,0.0017950958282406324,0.00019114926020098573,0.010097224467882936,0.003555221965432491
35,0.018686912920414685,0.023118066339598484,0.002316386813266514,0.0002566463511963438,0.007613403867247055,0.002421557838879342
40,0.020139380956938204,0.019250375274461638,0.002599425935239998,0.00026289129640121283,0.005240693074619278,0.0013555050040941514
45,0.04687920588598993,0.027494282745078445,0.0029760984203919877,0.00045824943058364007,0.004999491490291423,0.0019786891071829574
50,0.08301893795293473,0.04138384319178298,0.0037090522088295275,0.0004987508727362215,0.004594891119554459,0.00206083868624142
