sigma,mlp_mse_mean,mlp_mse_std,uf_mse_mean,uf_mse_std,beta_star_mean,beta_star_std
0.0,7.978683714791937e-05,0.00015570915277544079,1.564556892495731e-07,2.5968839209351066e-08,2.459416768880267e-06,4.012144560550348e-06
0.05,6.0128994833939156e-05,8.830551216696592e-05,8.275591058077981e-05,1.1551897372775302e-05,0.026561534548913524,0.008821533881023792
0.1,0.0001531055571806379,5.4162666939929174e-05,0.00023592257943569803,6.026646051885474e-05,0.040058538632286964,0.014581192694514534
0.2,0.0005032084174835417,0.0001955369721318031,0.0006539079916226908,0.0002809097076041342,0.06028528268439608,0.018986679841062976
0.4,0.0022492332775406127,0.0010284024328644482,0.002050415548055121,0.0008813708291756259,0.08569031520435053,0.037830068219374756
0.6,0.00657016846125774,0.0018345635029742185,0.0039546364595515904,0.0025978142468671642,0.08340499004323673,0.03125017677792651
0.8,0.012463857373537023,0.002204495900182447,0.006309236884740302,0.002375534683377678,0.10498598632097544,0.05779305067975206
1.0,0.017270663014999577,0.0052510312878746345,0.009976310046638322,0.010123214994794816,0.10776209249550968,0.05240474576029034
1.2,0.025450528273858308,0.007083134848371407,0.008278068642992128,0.003651898314224837,0.13737970710358574,0.04986057003369815
1.5,0.05112435116578534,0.00943218343801417,0.02673855251564673,0.018930806848663242,0.18132940871399908,0.14819210853354367
