seed,N_train,method,mlp_width,mlp_depth,mlp_lr,mlp_epochs,train_mse,test_mse_vs_f,max_error_vs_f,mse_vs_closed_form,max_error_vs_closed_form,L_hat,L_used
0,50,Closed-form,,,,,0.0,0.0008197245438360702,0.12638498315359592,0.0,0.0,5.17910789701378,5.697018686715158
0,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,5.927681886702695e-05,7.683191579825838e-05,0.02102335332632388,0.0008600707846535621,0.12113740115612326,5.17910789701378,5.697018686715158
1,50,Closed-form,,,,,0.0,0.0007850970930295205,0.11812551530050902,0.0,0.0,5.048200239480584,5.553020263428643
1,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,1.0085247091637754e-06,7.077449237741226e-05,0.04416251304748753,0.0008705121148548218,0.1193639499564021,5.048200239480584,5.553020263428643
2,50,Closed-form,,,,,0.0,0.00040215686656781396,0.07792963268749642,0.0,0.0,5.154123141507491,5.669535455658241
2,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,6.670370419750095e-06,7.635435216586837e-05,0.062283323437006155,0.0005503061399471048,0.12161568564579639,5.154123141507491,5.669535455658241
3,50,Closed-form,,,,,0.0,0.0005567447081062733,0.12209438509797754,0.0,0.0,5.085143195833207,5.5936575154165284
3,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,1.9666585258851522e-05,5.749255994301228e-05,0.034737468987734,0.0006548690501785063,0.12510564394026835,5.085143195833207,5.5936575154165284
4,50,Closed-form,,,,,0.0,0.0010102028131286974,0.1204628524862909,0.0,0.0,5.204483046878864,5.724931351566751
4,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,2.405475800052563e-06,4.48383528994383e-05,0.03148347261551121,0.0010704404357393385,0.12598717722108704,5.204483046878864,5.724931351566751
5,50,Closed-form,,,,,0.0,0.0015474160055948616,0.17371058769576891,0.0,0.0,5.126594733963088,5.639254207359397
5,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,8.238096805858896e-05,0.00016086901015084957,0.04456006362094883,0.001446432650609626,0.15188956062995362,5.126594733963088,5.639254207359397
6,50,Closed-form,,,,,0.0,0.0009810856756678774,0.1500510811303853,0.0,0.0,5.196013863682955,5.715615250051251
6,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,5.42543174023842e-06,3.60278790459217e-05,0.031804547935754934,0.0009618055974868769,0.14201462423427647,5.196013863682955,5.715615250051251
7,50,Closed-form,,,,,0.0,0.0007576856912928929,0.0984043290520259,0.0,0.0,5.002536653088868,5.502790318397755
7,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,0.0003145419881734243,0.0003818039254939127,0.03682937926481389,0.0012416112573511314,0.11398954576151854,5.002536653088868,5.502790318397755
8,50,Closed-form,,,,,0.0,0.0011659473003596183,0.18335039818764476,0.0,0.0,5.162658027472003,5.678923830219204
8,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,1.4110014314611037e-06,2.2079857398548278e-05,0.02908796194198826,0.0010810081912806324,0.17414408687617045,5.162658027472003,5.678923830219204
9,50,Closed-form,,,,,0.0,0.000772016278662046,0.10123058724854533,0.0,0.0,5.121049000822212,5.633153900904434
9,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,0.00040180655913310456,0.0004406828399364705,0.03905804276171643,0.0013505431755225896,0.12563196905590535,5.121049000822212,5.633153900904434
10,50,Closed-form,,,,,0.0,0.001560028036160925,0.12520694353261963,0.0,0.0,5.180818400197455,5.698900240217201
10,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,0.0005814318569163986,0.0008770609841974088,0.07155871000892522,0.0013845823738612261,0.10107475528845651,5.180818400197455,5.698900240217201
11,50,Closed-form,,,,,0.0,0.0011172194911869954,0.18018914524042318,0.0,0.0,5.194921234874173,5.7144133583615915
11,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,1.0129808612007257e-05,0.00026296611759302603,0.07075818326311534,0.000869453033980071,0.11751638087618316,5.194921234874173,5.7144133583615915
12,50,Closed-form,,,,,0.0,0.0008644721793272559,0.11830630141961007,0.0,0.0,5.089496082143716,5.598445690358089
12,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,1.5273512958289578e-05,0.00013338189808790983,0.06612616899612633,0.0013558346905642425,0.1844324704157364,5.089496082143716,5.598445690358089
13,50,Closed-form,,,,,0.0,0.0006563137247408938,0.09030092944058069,0.0,0.0,5.001842632786442,5.502026896065087
13,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,1.4544847364148487e-06,4.888892633685883e-05,0.029137826836435732,0.0005485106344373978,0.09047518503401339,5.001842632786442,5.502026896065087
14,50,Closed-form,,,,,0.0,0.0006743015276923108,0.10058648048068114,0.0,0.0,5.19793731271246,5.717731043983706
14,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,3.618965191077615e-05,8.720893946135486e-05,0.0389811408818076,0.0007771292786376272,0.10230672742456581,5.19793731271246,5.717731043983706
15,50,Closed-form,,,,,0.0,0.0005939283251100953,0.09269915281068175,0.0,0.0,5.2038082445816425,5.724189069039808
15,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,9.680493878941678e-07,7.483837699920601e-05,0.04466772519515949,0.0008175541110391024,0.1007198530975506,5.2038082445816425,5.724189069039808
16,50,Closed-form,,,,,0.0,0.003633077032526365,0.2554970598985936,0.0,0.0,5.191693311662452,5.7108626428286975
16,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,2.1978576959648905e-06,0.0005039102500475563,0.07708092501086683,0.0024615648822500866,0.22329448755137138,5.191693311662452,5.7108626428286975
17,50,Closed-form,,,,,0.0,0.0008768846171123595,0.1266302612256693,0.0,0.0,5.203774014083037,5.724151415491341
17,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,1.1723689442673075e-06,5.556218189320079e-05,0.028616602119241497,0.0008962051947581918,0.11841255319943633,5.203774014083037,5.724151415491341
18,50,Closed-form,,,,,0.0,0.0009369344495830114,0.14466419149970705,0.0,0.0,5.1554300462344,5.670973050857841
18,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,2.7995581003201772e-05,0.00011284632680376411,0.04501712762283283,0.0010942806703660487,0.13100063567006764,5.1554300462344,5.670973050857841
19,50,Closed-form,,,,,0.0,0.0017541522688779866,0.21592329692974832,0.0,0.0,5.063868737411146,5.570255611152261
19,50,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,5.304172279836134e-06,0.00013811508445054035,0.07162279012802342,0.0021249093896483088,0.2174700326600435,5.063868737411146,5.570255611152261
0,50,Closed-form,,,,,0.0,0.0008197245438360702,0.12638498315359592,0.0,0.0,5.17910789701378,5.697018686715158
0,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,6.76346435211991e-07,2.9788485533911897e-05,0.018441326055365415,0.0007006950513899072,0.11766318293117078,5.17910789701378,5.697018686715158
1,50,Closed-form,,,,,0.0,0.0007850970930295205,0.11812551530050902,0.0,0.0,5.048200239480584,5.553020263428643
1,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,3.45804294843542e-06,4.7456718660131934e-05,0.053225637704164774,0.0008118891578107657,0.11305461025175978,5.048200239480584,5.553020263428643
2,50,Closed-form,,,,,0.0,0.00040215686656781396,0.07792963268749642,0.0,0.0,5.154123141507491,5.669535455658241
2,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,1.546145734965121e-06,7.184480182217109e-05,0.0661643159687827,0.0005218962316168199,0.09887330991432819,5.154123141507491,5.669535455658241
3,50,Closed-form,,,,,0.0,0.0005567447081062733,0.12209438509797754,0.0,0.0,5.085143195833207,5.5936575154165284
3,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,1.5422364654413934e-06,2.827672380212483e-05,0.023317710787088552,0.0005205962214501022,0.10312023229628642,5.085143195833207,5.5936575154165284
4,50,Closed-form,,,,,0.0,0.0010102028131286974,0.1204628524862909,0.0,0.0,5.204483046878864,5.724931351566751
4,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,7.635258618399574e-07,3.095291379485818e-05,0.021504896285789443,0.000888054635170515,0.11683545025995118,5.204483046878864,5.724931351566751
5,50,Closed-form,,,,,0.0,0.0015474160055948616,0.17371058769576891,0.0,0.0,5.126594733963088,5.639254207359397
5,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,5.389767933828206e-07,8.351988280221087e-05,0.03278966348950085,0.0013526329397838,0.15809780359445325,5.126594733963088,5.639254207359397
6,50,Closed-form,,,,,0.0,0.0009810856756678774,0.1500510811303853,0.0,0.0,5.196013863682955,5.715615250051251
6,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,4.331228143836792e-06,3.675627605149983e-05,0.03174950304630486,0.0009132054307139866,0.13736514156683033,5.196013863682955,5.715615250051251
7,50,Closed-form,,,,,0.0,0.0007576856912928929,0.0984043290520259,0.0,0.0,5.002536653088868,5.502790318397755
7,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,3.260513638705068e-05,0.0001260645175054607,0.032332054829872114,0.0007119957316614678,0.08919245794353489,5.002536653088868,5.502790318397755
8,50,Closed-form,,,,,0.0,0.0011659473003596183,0.18335039818764476,0.0,0.0,5.162658027472003,5.678923830219204
8,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,2.1241936821199577e-06,1.9383855694416658e-05,0.01949177323706519,0.0010941525805124868,0.17549007896448832,5.162658027472003,5.678923830219204
9,50,Closed-form,,,,,0.0,0.000772016278662046,0.10123058724854533,0.0,0.0,5.121049000822212,5.633153900904434
